feature,feature_value,shap_value,absolute_shap
V151,1.0,0.0006131154714352681,0.0006131154714352681
id_05,0.0,0.0006072605057209618,0.0006072605057209618
V319,0.0,0.00058666236469988,0.00058666236469988
V282,1.0,0.0005824034199994259,0.0005824034199994259
V215,0.0,0.0005751626163182642,0.0005751626163182642
V176,3.0,-0.0005710041287614627,0.0005710041287614627
V64,1.0,-0.0005617482476958366,0.0005617482476958366
V26,1.0,0.0005614628521575948,0.0005614628521575948
V21,1.0,0.000544766224445045,0.000544766224445045
V166,0.0,0.0005341405904129347,0.0005341405904129347
V209,0.0,0.0005316720208245222,0.0005316720208245222
V318,0.0,-0.000522733225049243,0.000522733225049243
V202,445.3559875488281,-0.0005195292709544781,0.0005195292709544781
V289,0.0,0.0005171354078131786,0.0005171354078131786
V261,1.0,-0.0005139019776941145,0.0005139019776941145
V25,1.0,0.0005107447729116806,0.0005107447729116806
V10,0.0,0.000509764070852496,0.000509764070852496
M8,2.0,-0.0005021225027562238,0.0005021225027562238
id_35,0.0,-0.0005002807028190952,0.0005002807028190952
V185,0.0,0.0004820998555648546,0.0004820998555648546
V178,9.0,-0.00048206140405397327,0.00048206140405397327
V132,98.96800231933594,0.0004800393745401651,0.0004800393745401651
V278,0.0,0.0004760938628719191,0.0004760938628719191
V245,1.0,-0.00046961138535205944,0.00046961138535205944
V287,0.0,0.00044989500827265184,0.00044989500827265184
V84,1.0,-0.0004475985791682187,0.0004475985791682187
V279,0.0,0.00043595347614659496,0.00043595347614659496
V208,0.0,0.0004270398025834944,0.0004270398025834944
V297,0.0,0.0004269212561967616,0.0004269212561967616
V269,0.0,0.0004086641569685771,0.0004086641569685771
V174,0.0,0.0004024834356698975,0.0004024834356698975
V115,1.0,-0.000382763742129311,0.000382763742129311
id_11,100.0,-0.000373777173324464,0.000373777173324464
V95,2.0,0.0003361875806404637,0.0003361875806404637
id_32,24.0,-0.0003359779104849749,0.0003359779104849749
V197,1.0,-0.00030076447611096513,0.00030076447611096513
V145,0.0,0.00029913459624217466,0.00029913459624217466
V100,0.0,0.0002785048599561663,0.0002785048599561663
V204,445.3559875488281,-0.0002757724162213181,0.0002757724162213181
id_37,1.0,0.0002702737877016732,0.0002702737877016732
V57,1.0,-0.00026904258336325765,0.00026904258336325765
V251,1.0,-0.0002681906410937875,0.0002681906410937875
V77,1.0,0.0002677448665901113,0.0002677448665901113
V292,1.0,0.00026391825866060105,0.00026391825866060105
V179,9.0,-0.00026343251050761174,0.00026343251050761174
V150,1.0,0.00025696825499645635,0.00025696825499645635
V186,4.0,0.00025477609050060903,0.00025477609050060903
V137,0.0,0.0002538919675766372,0.0002538919675766372
V228,4.0,-0.0002527473061003841,0.0002527473061003841
V46,3.0,0.00024936656455989124,0.00024936656455989124
V105,0.0,0.0002471728011582675,0.0002471728011582675
V286,0.0,0.00024055661069969866,0.00024055661069969866
V255,1.0,0.00022076634835874932,0.00022076634835874932
V108,1.0,-0.00021836113131517356,0.00021836113131517356
V78,1.0,0.00021828797175361747,0.00021828797175361747
V211,445.3559875488281,0.00021815874219336523,0.00021815874219336523
V123,3.0,0.00021414783600093664,0.00021414783600093664
id_06,0.0,0.0002088583787689668,0.0002088583787689668
V214,0.0,0.0002067418772711326,0.0002067418772711326
V5,1.0,0.00020319601807136864,0.00020319601807136864
V226,0.0,0.000201482613708618,0.000201482613708618
V311,0.0,-0.00019984079084842845,0.00019984079084842845
V256,1.0,-0.00019891495857171163,0.00019891495857171163
V66,1.0,-0.00019840265095250542,0.00019840265095250542
V31,1.0,0.0001969283651117649,0.0001969283651117649
V152,1.0,0.00019307119812084802,0.00019307119812084802
V79,1.0,-0.00019266197877418836,0.00019266197877418836
id_04,0.0,-0.00019129702553301867,0.00019129702553301867
V260,1.0,-0.00019099802853217803,0.00019099802853217803
V49,0.0,0.00019067095709101477,0.00019067095709101477
V290,1.0,0.00018254782818289284,0.00018254782818289284
V227,1.0,-0.00017943042007196274,0.00017943042007196274
V303,1.0,0.0001792532805591508,0.0001792532805591508
V249,2.0,0.0001781341684569026,0.0001781341684569026
V164,0.0,0.00017509276138655093,0.00017509276138655093
V158,1.0,0.00016004711602752672,0.00016004711602752672
V218,20.0,0.00015947877232175178,0.00015947877232175178
V328,0.0,0.00015762178385062526,0.00015762178385062526
V301,0.0,0.00015452448579661397,0.00015452448579661397
V60,1.0,-0.00015380059747288063,0.00015380059747288063
V295,0.0,0.00014663828534127325,0.00014663828534127325
V299,0.0,0.00014646557202205944,0.00014646557202205944
V104,0.0,0.00014336144445672636,0.00014336144445672636
