feature,feature_value,shap_value,absolute_shap
V270,0.0,-4.088062445787287e-05,4.088062445787287e-05
V97,0.0,-3.9833638112386346e-05,3.9833638112386346e-05
V204,0.0,3.825309075248472e-05,3.825309075248472e-05
V125,1.0,-3.693390168321766e-05,3.693390168321766e-05
addr2,87.0,3.659003133159833e-05,3.659003133159833e-05
V214,0.0,3.57659260059117e-05,3.57659260059117e-05
V155,1.0,-3.364056158118779e-05,3.364056158118779e-05
V199,1.0,3.341096511187795e-05,3.341096511187795e-05
V236,0.0,3.0001275478376177e-05,3.0001275478376177e-05
V277,0.0,2.925706874974065e-05,2.925706874974065e-05
V284,0.0,2.5051726334209772e-05,2.5051726334209772e-05
V141,0.0,2.12133429980641e-05,2.12133429980641e-05
V104,0.0,2.025109486891131e-05,2.025109486891131e-05
V211,0.0,-1.939399384786828e-05,1.939399384786828e-05
V260,1.0,-1.7691437007561998e-05,1.7691437007561998e-05
V218,0.0,1.76410079949996e-05,1.76410079949996e-05
V213,0.0,-1.7543862834659506e-05,1.7543862834659506e-05
V181,0.0,1.498144877549277e-05,1.498144877549277e-05
V180,0.0,1.3623432649399085e-05,1.3623432649399085e-05
V273,0.0,1.3249852682501995e-05,1.3249852682501995e-05
V15,0.0,-1.2417649306341632e-05,1.2417649306341632e-05
V331,0.0,-1.2015437442863241e-05,1.2015437442863241e-05
V202,0.0,1.0980569414184777e-05,1.0980569414184777e-05
V16,0.0,1.0369829598843022e-05,1.0369829598843022e-05
V123,1.0,-9.673904472308871e-06,9.673904472308871e-06
V186,1.0,-9.231680113512061e-06,9.231680113512061e-06
V250,1.0,-7.2270874755257044e-06,7.2270874755257044e-06
V138,0.0,-7.109376689088238e-06,7.109376689088238e-06
V144,0.0,-6.7540526611882086e-06,6.7540526611882086e-06
V188,1.0,-6.0131514146928725e-06,6.0131514146928725e-06
V112,1.0,-5.102706810346696e-06,5.102706810346696e-06
V148,1.0,-5.0875091748040075e-06,5.0875091748040075e-06
V248,1.0,-4.9029298447320765e-06,4.9029298447320765e-06
V118,1.0,3.3649003660027004e-06,3.3649003660027004e-06
V46,1.0,-2.187117679959597e-06,2.187117679959597e-06
V43,0.0,-1.4854092031376664e-06,1.4854092031376664e-06
V262,1.0,6.210958205444647e-07,6.210958205444647e-07
V28,0.0,0.0,0.0
V113,1.0,0.0,0.0
V68,0.0,0.0,0.0
V14,1.0,0.0,0.0
V252,1.0,0.0,0.0
V247,1.0,0.0,0.0
V235,0.0,0.0,0.0
V239,0.0,0.0,0.0
V196,1.0,0.0,0.0
V195,1.0,0.0,0.0
V191,1.0,0.0,0.0
V193,1.0,0.0,0.0
V41,1.0,0.0,0.0
V190,1.0,0.0,0.0
V93,0.0,0.0,0.0
V32,0.0,0.0,0.0
V89,0.0,0.0,0.0
V88,1.0,0.0,0.0
V241,1.0,0.0,0.0
V240,1.0,0.0,0.0
V153,1.0,0.0,0.0
V168,0.0,0.0,0.0
V175,0.0,0.0,0.0
V110,1.0,0.0,0.0
V98,0.0,0.0,0.0
V305,1.0,0.0,0.0
V142,0.0,0.0,0.0
V298,0.0,0.0,0.0
V107,1.0,0.0,0.0
V322,0.0,0.0,0.0
V325,0.0,0.0,0.0
V327,0.0,0.0,0.0
V122,1.0,0.0,0.0
V119,1.0,0.0,0.0
V117,1.0,0.0,0.0
V18,0.0,0.0,0.0
V27,0.0,0.0,0.0
V22,0.0,0.0,0.0
V1,1.0,0.0,0.0
V65,1.0,0.0,0.0
